tool_id,questionnaire_id,page_id,dimension_id,no_of_questions,question_no,question_context,question_id,max_score,response_metric_id,reponse_options_label,remarks,created_by,creation_date,last_modified_by,last_modified_date,question_description,question_type,option_ids
AM-001,Navigator,PG-081,36,3,1,Do we?,Q-400,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Ensure that our employees’s jobs are challenging?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-081,36,3,2,,Q-401,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Set clear goals and accountabilities?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-081,36,3,3,,Q-402,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Ensure clear goal purpose and meaning for all roles?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-082,36,3,4,,Q-403,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Ensure that when roles change we help to build clarity about the new roles?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-082,37,3,5,Do we?,Q-404,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Listen to our employees?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-082,37,3,6,,Q-405,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Help our employees to develop?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-083,37,3,7,,Q-406,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Make time for our employees?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-083,37,3,8,,Q-407,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Ensure that we give regular feedback?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-083,38,3,9,Do we?,Q-408,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Instill confidence that our employees can achieve their goals?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-084,38,3,10,,Q-409,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Ensure that our employees feel respected?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-084,38,3,11,,Q-410,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Give everyone the opportunity to perform?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-084,38,3,12,,Q-411,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Allow everyone to have control over the work they do?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-085,39,3,13,Do we?,Q-412,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Help our employees feel good about our purpose,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-085,39,3,14,,Q-413,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Help our employees understand strategy?,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-085,39,3,15,,Q-414,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Help our employees understand our products and services,Multi-choice,"1,2,3,4,5"
AM-001,Navigator,PG-086,39,1,16,,Q-415,4,RM-008,"Not at all, To some extent, Quite a lot, To a significant extent, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Help our employees 'want to do their jobs?',Multi-choice,"1,2,3,4,5"
BEF-001,Navigator,PG-141,72,3,1,,Q-700,4,RM-008,"No Confidence, Some Confidence, Quite Confident, Extremly Confident, Don\'t know",Remarks,NULL,2018-12-04 10:32:12,NULL,2010-08-18 11:55:00,Whole system perspective,Multi-choice,"1,2,3,4,5"
