question_name,question_id,version,tool_id,category,type,dimension_id,response_metric_id,max_score,weightage,question_benchmark,response_metric_benchmark,option_ids,option_labels,question_context,question_description,template_url,created_by,creation_date,last_modified_by,last_modified_date
NULL,Q-001,v1.0,SST-001,SST,Multi-choice,5,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,We have clearly established that there is sufficient market headroom for our planned growth,template.html,NULL,2010-05-18 12:52:00,NULL,2010-05-18 12:52:00
NULL,Q-002,v1.0,SST-001,SST,Multi-choice,5,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,"We have all of the external competitive strengths (e.g. technology, brand, distribution, scale, access) we need to ensure we can win with our strategy",template.html,NULL,2010-05-18 12:57:00,NULL,2010-05-18 12:57:00
NULL,Q-003,v1.0,SST-001,SST,Multi-choice,5,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,We have explicitly considered current or potential  non-traditional competitors,template.html,NULL,2010-05-18 12:59:00,NULL,2010-05-18 12:59:00
NULL,Q-004,v1.0,SST-001,SST,Multi-choice,4,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,We have the critical capabilities that are essential to win with our strategy in ways that are unique to us.,template.html,NULL,2010-05-18 13:56:00,NULL,2010-05-18 13:56:00
NULL,Q-005,v1.0,SST-001,SST,Multi-choice,4,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,"Where required, we know how to acquire the capabilities required to win, and how to internalize them across the organization.",template.html,NULL,2010-05-18 13:58:00,NULL,2010-05-18 13:58:00
NULL,Q-006,v1.0,SST-001,SST,Multi-choice,4,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,We are confident that our strategy will be profitable within our accepted time frames.,template.html,NULL,2010-05-18 13:58:00,NULL,2010-05-18 13:58:00
NULL,Q-007,v1.0,SST-001,SST,Multi-choice,7,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,We have explicitly factored in competitive responses to our strategy,template.html,NULL,2010-05-18 14:00:00,NULL,2010-05-18 14:00:00
NULL,Q-008,v1.0,SST-001,SST,Multi-choice,7,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,New entrants with completely different technology will not be able sweep away investment based barriers to entry,template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-009,v1.0,SST-001,SST,Multi-choice,7,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,There are no potential changes in rules/regulations/costs visible that could upset our assumptions.,template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-010,v1.0,SST-001,SST,Multi-choice,6,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,We have considered the impact of market shares being lower than the base assumption and revenues growing slower than the base plan.,template.html,NULL,2010-05-18 14:01:00,NULL,2010-05-18 14:01:00
NULL,Q-011,v1.0,SST-001,SST,Multi-choice,6,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,We have considered the impact of costs being higher than the base assumption and investments needing to be higher than projected.,template.html,NULL,2010-05-18 14:03:00,NULL,2010-05-18 14:03:00
NULL,Q-012,v1.0,SST-001,SST,Multi-choice,6,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,We can live with the consequences of at least a two of our basic assumptions going wrong (being +/-  10%).,template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
NULL,Q-013,v1.0,SST-001,SST,Multi-choice,9,RM-001,4,NULL,NULL,0,"1,2,3,4,5","Strongly Agree,Agree,Disagree,Strongly Disagree,Don\'t Know",NULL,"We understand how our profile (e.g. capabilities, infrastructure, access, customer base ) gives us unique strengths that are hard for a competitor to replicate.",template.html,NULL,2010-05-18 14:05:00,NULL,2010-05-18 14:05:00
